MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
201801,AncillaryFFS,DIABETES EDUCATOR,Payer CA,557
201801,AncillaryFFS,DIAG X-RAY CLINIC,Payer H,439
201801,AncillaryFFS,DIAGNOSTIC RADIOLOGY,Payer CA,811
201801,AncillaryFFS,DIAGNOSTIC RADIOLOGY,Payer CO,14
201801,AncillaryFFS,Diagnostics,Payer UN,93
201801,AncillaryFFS,DIAL,Payer CO,1265
201801,AncillaryFFS,DIALYSIS,Payer CA,8776
201801,AncillaryFFS,Dialysis,Payer S,4094
201801,AncillaryFFS,DIALYSIS,Payer W,4557
201801,AncillaryFFS,DIALYSIS CENTER,Payer H,1540
201801,AncillaryFFS,DISEASE MANAGEMENT,Payer CA,1777
201801,AncillaryFFS,"DME & Medical Supplies, Oxygen Equip & Supplies",Payer S,494
201801,AncillaryFFS,Doctor of Psychology,Payer UN,0
201801,AncillaryFFS,DURABLE MED EQUIPMENT,Payer CO,5187
201801,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer B,1546
201801,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer CA,6575
201801,AncillaryFFS,Durable Medical Equipment,Payer S,6525
201801,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer W,2383
201801,AncillaryFFS,Durable Medical Supply,Payer UN,700
201801,AncillaryFFS,EMERGENCY MEDICINE,Payer F,2828
201801,AncillaryFFS,EMERGENCY MEDICINE,Payer O,1509
201801,AncillaryFFS,Emergency Medicine,Payer S,0
201801,AncillaryFFS,Emergency Medicine,Payer UN,60
201801,AncillaryFFS,EMERGENCY ROOM,Payer CA,90
201801,AncillaryFFS,EMERGENCY ROOM,Payer W,1878
201801,AncillaryFFS,End-Stage Renal Disease (ESRD) Treatment	,Payer S,500
201801,AncillaryFFS,ENDOCRINOLOGY,Payer F,1137
201801,AncillaryFFS,ENDOCRINOLOGY,Payer O,342
201801,AncillaryFFS,Endocrinology,Payer UN,0
201801,AncillaryFFS,ENT,Payer W,106
201801,AncillaryFFS,FAMILY NURSE PRACTIONER,Payer CA,133
201801,AncillaryFFS,Family Practice,Payer B,0
201801,AncillaryFFS,FAMILY PRACTICE,Payer CA,553
201801,AncillaryFFS,FAMILY PRACTICE,Payer F,9315
201801,AncillaryFFS,FAMILY PRACTICE,Payer O,1381
201801,AncillaryFFS,Family Practice,Payer S,506
201801,AncillaryFFS,Family Practice,Payer UN,38
201801,AncillaryFFS,FAMILY PRACTICE,Payer W,1484
201801,AncillaryFFS,Fitness,Payer S,857
201801,AncillaryFFS,FQHC,Payer W,941
201801,AncillaryFFS,GASTROENTEROLOGY,Payer CA,348
201801,AncillaryFFS,GASTROENTEROLOGY,Payer F,820
201801,AncillaryFFS,GENERAL PRACTICE,Payer CA,1780
201801,AncillaryFFS,GENERAL PRACTICE,Payer F,2702
201801,AncillaryFFS,GENERAL PRACTICE,Payer O,2116
201801,AncillaryFFS,General Practice,Payer UN,188
201801,AncillaryFFS,GENERAL PRACTICE,Payer W,388
201801,AncillaryFFS,GENERAL SURGERY,Payer CA,470
201801,AncillaryFFS,GENERAL SURGERY,Payer F,464
201801,AncillaryFFS,GENERAL SURGERY,Payer O,60
201801,AncillaryFFS,General Surgery,Payer UN,15
201801,AncillaryFFS,GENERAL SURGERY,Payer W,562
201801,AncillaryFFS,Geriatric Medicine,Payer UN,-201
201801,AncillaryFFS,GERIATRICS,Payer B,-203
201801,AncillaryFFS,Gynecology,Payer UN,0
201801,AncillaryFFS,HEARING SERVICES,Payer CA,0
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer CA,123
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer CO,221
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer F,1252
201801,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer O,196
201801,AncillaryFFS,Hematology/Oncology,Payer S,147
201801,AncillaryFFS,Home Delivered Meals,Payer S,117
201801,AncillaryFFS,HOME HEALTH,Payer F,66053
201801,AncillaryFFS,HOME HEALTH,Payer O,15277
201801,AncillaryFFS,HOME HEALTH AGENCY,Payer CO,1510
201801,AncillaryFFS,HOME HEALTH AGENCY,Payer W,6134
201801,AncillaryFFS,HOME HEALTH CARE,Payer CA,2276
201801,AncillaryFFS,Home Health Care,Payer UN,2125
201801,AncillaryFFS,HOME HEALTH CENTER,Payer H,13068
201801,AncillaryFFS,HOS/ANCILLARY,Payer F,347
201801,AncillaryFFS,HOS/ANCILLARY,Payer O,498
201801,AncillaryFFS,HOSPICE,Payer F,859
201801,AncillaryFFS,HOSPITAL,Payer CA,494
201801,AncillaryFFS,HOSPITAL,Payer F,437
201801,AncillaryFFS,Hospital,Payer UN,68
201801,AncillaryFFS,HOSPITAL,Payer W,48469
201801,AncillaryFFS,HOSPITAL ACUTE CARE,Payer B,0
201801,AncillaryFFS,HOSPITALIST,Payer CO,638
201801,AncillaryFFS,HOSPITALIST,Payer F,501
201801,AncillaryFFS,HOSPITALIST,Payer W,234
201801,AncillaryFFS,Hyperbaric Medicine,Payer S,2047
201801,AncillaryFFS,INDEPENDENT LAB,Payer F,5663
201801,AncillaryFFS,INDEPENDENT LAB,Payer H,1241
201801,AncillaryFFS,INDEPENDENT LAB,Payer O,5743
201801,AncillaryFFS,INFECTIOUS DISEASE,Payer F,906
201801,AncillaryFFS,INFECTIOUS DISEASE,Payer O,323
201801,AncillaryFFS,INFECTIOUS DISEASES,Payer CA,667
201801,AncillaryFFS,INFUSION CARE,Payer W,805
201801,AncillaryFFS,INFUSION PROVIDER,Payer O,887
201801,AncillaryFFS,Internal Medicine,Payer B,0
201801,AncillaryFFS,INTERNAL MEDICINE,Payer CA,1768
201801,AncillaryFFS,INTERNAL MEDICINE,Payer F,2615
201801,AncillaryFFS,INTERNAL MEDICINE,Payer O,1041
201801,AncillaryFFS,Internal Medicine,Payer S,415
201801,AncillaryFFS,Internal Medicine,Payer UN,-530
201801,AncillaryFFS,INTERNAL MEDICINE,Payer W,885
201801,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer CA,0
201801,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer F,29
201801,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer O,458
201801,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer W,72
201801,AncillaryFFS,LABORATORY,Payer CA,13529
201801,AncillaryFFS,LABORATORY,Payer CO,734
201801,AncillaryFFS,Laboratory,Payer S,1030
201801,AncillaryFFS,Laboratory,Payer UN,4148
201801,AncillaryFFS,LABORATORY,Payer W,5276
201801,AncillaryFFS,LABS(CLINICAL),Payer B,2292
201801,AncillaryFFS,MEDICAL DOCTOR,Payer H,2642
201801,AncillaryFFS,MEDICAL SUPPLIER (DME),Payer F,30869
201801,AncillaryFFS,MEDICAL SUPPLIER (DME),Payer O,5136
201801,AncillaryFFS,MENTAL HEALTH,Payer W,77
201801,AncillaryFFS,MENTAL HEALTH PROFESSIONAL,Payer F,0
201801,AncillaryFFS,MHH,Payer W,544
201801,AncillaryFFS,MINI CLINIC,Payer B,139
201801,AncillaryFFS,MOBIL,Payer W,121
201801,AncillaryFFS,MOBILE DIAGNOSTIC,Payer CA,308
201801,AncillaryFFS,NEPHROLOGY,Payer CA,427
201801,AncillaryFFS,NEPHROLOGY,Payer CO,562
201801,AncillaryFFS,NEPHROLOGY,Payer F,2336
201801,AncillaryFFS,NEPHROLOGY,Payer O,603
201801,AncillaryFFS,Nephrology,Payer S,337
201801,AncillaryFFS,Nephrology,Payer UN,0
201801,AncillaryFFS,NEPHROLOGY,Payer W,2401
201801,AncillaryFFS,NEUROLOGICAL SURGERY,Payer CA,119
201801,AncillaryFFS,NEUROLOGY,Payer CA,1558
201801,AncillaryFFS,Neurology,Payer UN,0
201801,AncillaryFFS,NEUROSURGERY,Payer F,2069
201801,AncillaryFFS,Neurosurgery,Payer UN,0
201801,AncillaryFFS,Non-Emergency Transportation,Payer S,662
201801,AncillaryFFS,NOTPROVIDED,Payer B,717
201801,AncillaryFFS,NURSE PRACTITIONER,Payer CA,408
201801,AncillaryFFS,NURSE PRACTITIONER,Payer CO,430
201801,AncillaryFFS,Nurse Practitioner (Arnp),Payer UN,0
201801,AncillaryFFS,NURSE PRACTITIONERS,Payer H,828
201801,AncillaryFFS,OBSTETRICS & GYNECOLOGY,Payer O,80
201801,AncillaryFFS,OBSTETRICS & GYNECOLOGY,Payer W,57
201801,AncillaryFFS,Obstetrics And Gynecology,Payer UN,0
201801,AncillaryFFS,ONCOLOGY,Payer F,0
201801,AncillaryFFS,ONCOLOGY,Payer O,219
201801,AncillaryFFS,Oncology & Hematology,Payer UN,0
201801,AncillaryFFS,OPHTHALMOLOGY,Payer CA,273
201801,AncillaryFFS,Opthalmology,Payer UN,-336
201801,AncillaryFFS,Optometry,Payer UN,0
201801,AncillaryFFS,ORTHOPEDIC,Payer CA,155
201801,AncillaryFFS,Orthopedic Surgery,Payer B,0
201801,AncillaryFFS,ORTHOPEDIC SURGERY,Payer CA,613
201801,AncillaryFFS,ORTHOPEDIC SURGERY,Payer F,953
201801,AncillaryFFS,ORTHOPEDIC SURGERY,Payer O,190
201801,AncillaryFFS,Orthopedic Surgery,Payer UN,-232
201801,AncillaryFFS,ORTHOPEDICS,Payer F,35
201801,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer CA,4321
201801,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer CO,119
201801,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer W,2123
201801,AncillaryFFS,OSTEOPATH,Payer H,1200
201801,AncillaryFFS,OTHER,Payer CA,1124
201801,AncillaryFFS,OTHERS,Payer F,768
201801,AncillaryFFS,OTHERS,Payer O,160
201801,AncillaryFFS,OUT OF COUNTRY PROVIDER,Payer F,504
201801,AncillaryFFS,PAIN MANAGEMENT,Payer B,0
201801,AncillaryFFS,PAIN MANAGEMENT,Payer CA,239
201801,AncillaryFFS,Pain Management,Payer UN,41
201801,AncillaryFFS,PAIN MANAGEMENT,Payer W,742
201801,AncillaryFFS,PATHOLOGY,Payer CA,384
201801,AncillaryFFS,PATHOLOGY,Payer CO,1709
201801,AncillaryFFS,PATHOLOGY,Payer F,903
201801,AncillaryFFS,PATHOLOGY,Payer O,924
201801,AncillaryFFS,Pathology,Payer UN,2006
201801,AncillaryFFS,Pathology - Anatomic Pathology & Clinical Patholog,Payer S,494
201801,AncillaryFFS,PCS,Payer W,82
201801,AncillaryFFS,PEDIATRICS,Payer CA,82
201801,AncillaryFFS,PEDIATRICS,Payer F,580
201801,AncillaryFFS,PEDIATRICS,Payer O,573
201801,AncillaryFFS,PERSONAL EMERGENCY RESPONSE SYSTEM,Payer S,42
201801,AncillaryFFS,PHARMACY,Payer B,139
201801,AncillaryFFS,PHYS MEDICINE REHAB,Payer F,1133
201801,AncillaryFFS,PHYS MEDICINE REHAB,Payer O,2164
201801,AncillaryFFS,PHYSICAL MEDICINE & REHAB,Payer CA,572
201801,AncillaryFFS,PHYSICAL THERAPY,Payer CA,713
201801,AncillaryFFS,Physical Therapy,Payer UN,288
201801,AncillaryFFS,PHYSICAL THERAPY,Payer W,0
201801,AncillaryFFS,PHYSICIAN ASSISTANT,Payer H,853
201801,AncillaryFFS,Physician Assistant,Payer S,167
201801,AncillaryFFS,Physician Assistant,Payer UN,0
201801,AncillaryFFS,PLASTIC SURGERY,Payer CA,277
201801,AncillaryFFS,Podiatrist	,Payer S,355
201801,AncillaryFFS,PODIATRIST,Payer H,1795
201801,AncillaryFFS,Podiatrist - Foot Surgery	,Payer S,182
201801,AncillaryFFS,PODIATRY,Payer B,0
201801,AncillaryFFS,PODIATRY,Payer CA,967
201801,AncillaryFFS,PODIATRY,Payer CO,199
201801,AncillaryFFS,PODIATRY,Payer F,1273
201801,AncillaryFFS,PODIATRY,Payer O,462
201801,AncillaryFFS,Podiatry,Payer UN,16
201801,AncillaryFFS,PODIATRY,Payer W,265
201801,AncillaryFFS,PREVENTIVE MEDICINE,Payer F,377
201801,AncillaryFFS,PREVENTIVE MEDICINE,Payer O,104
201801,AncillaryFFS,PROSTHETIC & ORTHOTICS,Payer F,4347
201801,AncillaryFFS,PROSTHETIC & ORTHOTICS,Payer O,937
201801,AncillaryFFS,Prosthetics and Orthotics,Payer S,575
201801,AncillaryFFS,PROV RURAL HEALTH,Payer F,482
201801,AncillaryFFS,PROV RURAL HEALTH,Payer O,256
201801,AncillaryFFS,PROV TYPE INVALID,Payer H,64
201801,AncillaryFFS,PSYCH HOSPITAL,Payer W,2304
201801,AncillaryFFS,PSYCHIATRY,Payer CA,0
201801,AncillaryFFS,PSYCHIATRY,Payer W,1843
201801,AncillaryFFS,Psychology,Payer UN,0
201801,AncillaryFFS,PSYCHOLOGY,Payer W,450
201801,AncillaryFFS,PUBL,Payer CO,42
201801,AncillaryFFS,PULMONARY DISEASE,Payer F,919
201801,AncillaryFFS,PULMONARY DISEASE,Payer O,14
201801,AncillaryFFS,Pulmonary Diseases,Payer B,0
201801,AncillaryFFS,PULMONARY DISEASES,Payer CA,132
201801,AncillaryFFS,PULMONARY DISEASES,Payer W,815
201801,AncillaryFFS,Pulmonology,Payer UN,0
201801,AncillaryFFS,RADIATION ONCOLOGY,Payer CA,651
201801,AncillaryFFS,RADIATION ONCOLOGY,Payer CO,835
201801,AncillaryFFS,RADIATION ONCOLOGY,Payer F,592
201801,AncillaryFFS,RADIOLOGY,Payer F,542
201801,AncillaryFFS,RADIOLOGY,Payer O,326
201801,AncillaryFFS,Radiology,Payer UN,-5414
201801,AncillaryFFS,RADIOLOGY,Payer W,262
201801,AncillaryFFS,Radiology (Diagnostic),Payer UN,196
201801,AncillaryFFS,Radiology - Diagnostic,Payer S,52
201801,AncillaryFFS,RADIOLOGY IMAGING CENTER,Payer B,0
201801,AncillaryFFS,RADIOLOGY IMAGING PROVIDER,Payer F,927
201801,AncillaryFFS,RADIOLOGY IMAGING PROVIDER,Payer O,537
201801,AncillaryFFS,Radiology Oncology,Payer UN,0
201801,AncillaryFFS,Rehabilitation Center,Payer UN,0
201801,AncillaryFFS,REHABILITATION FACILITY,Payer B,0
201801,AncillaryFFS,REHABILITATION FACILITY,Payer W,0
201801,AncillaryFFS,REHABILITATION HOSPITAL,Payer B,45
201801,AncillaryFFS,RENAL DIALYSIS FACILITY,Payer F,55789
201801,AncillaryFFS,RENAL DIALYSIS FACILITY,Payer O,5560
201801,AncillaryFFS,Rheumatology,Payer UN,0
201801,AncillaryFFS,SKILLED NURSING FACILITY,Payer CA,1248
201801,AncillaryFFS,SKILLED NURSING FACILITY,Payer W,6201
201801,AncillaryFFS,SLEEP CENTER,Payer CA,718
201801,AncillaryFFS,SLEEP CENTER,Payer W,2112
201801,AncillaryFFS,SLEEP DIAGNOSTIC FACILITY,Payer F,1703
201801,AncillaryFFS,SLEEP DIAGNOSTIC FACILITY,Payer O,360
201801,AncillaryFFS,Sleep Medicine,Payer S,349
201801,AncillaryFFS,SPC FCLY / CA HOSPITAL,Payer F,663
201801,AncillaryFFS,SPECIAL SERVICES,Payer H,5240
201801,AncillaryFFS,SUBST,Payer W,503
201801,AncillaryFFS,Surgery (Vascular),Payer UN,316
201801,AncillaryFFS,SURGICAL ONCOLOGY,Payer CA,319
201801,AncillaryFFS,THERR,Payer CO,310
201801,AncillaryFFS,TRANSPORTATION,Payer S,321
201801,AncillaryFFS,UNDER,Payer CO,96
201801,AncillaryFFS,URGENT CARE CENTER,Payer B,202
201801,AncillaryFFS,URGENT CARE CENTER,Payer CA,1344
201801,AncillaryFFS,URGENT CARE CENTER,Payer F,1458
201801,AncillaryFFS,URGENT CARE CENTER,Payer O,440
201801,AncillaryFFS,URGENT CARE CENTER,Payer W,462
201801,AncillaryFFS,Urgent Care Facility,Payer UN,420
201801,AncillaryFFS,URGENT CARE MEDICINE,Payer F,1125
201801,AncillaryFFS,Urology,Payer B,410
201801,AncillaryFFS,UROLOGY,Payer CA,221
201801,AncillaryFFS,Urology,Payer UN,-501
201801,AncillaryFFS,VASCULAR SURGERY,Payer F,296
201801,AncillaryFFS,VISION,Payer F,6223
201801,AncillaryFFS,VISION,Payer O,3799
201801,AncillaryFFS,WOUND CARE SPECIALISTS,Payer F,342
201801,AncillaryFFS,WOUND CARE SPECIALISTS,Payer O,852
201801,AncillaryFFS,WOUNDCARE,Payer CA,426
201801,ASCServices,,Payer F,614
201801,ASCServices,ABULATORY SURGICAL CENTER,Payer CO,710
201801,ASCServices,AMBULATORY SURGERY CENTER,Payer B,554
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer CA,13391
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer F,10375
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer O,1482
201801,ASCServices,Ambulatory Surgical Center,Payer S,660
201801,ASCServices,AMBULATORY SURGICAL CENTER,Payer W,1319
201801,ASCServices,Ambulatory Surgical Centers,Payer UN,1815
201801,ASCServices,ANES ASSIST,Payer CA,217
201801,ASCServices,ANESTHESIOLOGIST,Payer H,1868
201801,ASCServices,ANESTHESIOLOGY,Payer CA,3751
201801,ASCServices,ANESTHESIOLOGY,Payer CO,353
201801,ASCServices,ANESTHESIOLOGY,Payer F,6342
201801,ASCServices,ANESTHESIOLOGY,Payer O,1383
201801,ASCServices,Anesthesiology,Payer S,826
201801,ASCServices,Anesthesiology,Payer UN,2230
201801,ASCServices,ANESTHESIOLOGY,Payer W,528
201801,ASCServices,ARNP,Payer CA,165
201801,ASCServices,ASC,Payer F,40366
201801,ASCServices,ASC,Payer O,10923
201801,ASCServices,CARDIOLOGY,Payer F,207
201801,ASCServices,CARDIOLOGY,Payer O,450
201801,ASCServices,CARDIOVASCULAR SURGERY,Payer CA,254
201801,ASCServices,CERTIFIED REGISTERED NURSE ANESTHETIST,Payer B,1541
201801,ASCServices,Colon and Rectal Surgery,Payer B,868
201801,ASCServices,DURABLE MEDICAL EQUIPMENT,Payer CA,0
201801,ASCServices,DURABLE MEDICAL EQUIPMENT,Payer W,0
201801,ASCServices,Durable Medical Supply,Payer UN,0
201801,ASCServices,ENT,Payer CA,290
201801,ASCServices,ENT,Payer F,448
201801,ASCServices,ENT,Payer O,193
201801,ASCServices,Gastroenterology,Payer B,434
201801,ASCServices,GASTROENTEROLOGY,Payer CA,2596
201801,ASCServices,GASTROENTEROLOGY,Payer CO,1304
201801,ASCServices,GASTROENTEROLOGY,Payer F,5794
201801,ASCServices,GASTROENTEROLOGY,Payer O,1363
201801,ASCServices,Gastroenterology,Payer S,480
201801,ASCServices,Gastroenterology,Payer UN,1216
201801,ASCServices,GASTROENTEROLOGY,Payer W,671
201801,ASCServices,GENERAL SURGERY,Payer F,899
201801,ASCServices,GENERAL SURGERY,Payer O,575
201801,ASCServices,GYNECOLOGY,Payer F,1013
201801,ASCServices,HAND SURGERY,Payer F,485
201801,ASCServices,INDEPENDENT LAB,Payer F,2393
201801,ASCServices,INDEPENDENT LAB,Payer O,670
201801,ASCServices,INTERNAL MEDICINE,Payer CO,260
201801,ASCServices,LABORATORY,Payer W,106
201801,ASCServices,MEDICAL DOCTOR,Payer H,4708
201801,ASCServices,NEPHROLOGY,Payer F,720
201801,ASCServices,NEUROLOGY,Payer CA,125
201801,ASCServices,NEUROLOGY,Payer W,750
201801,ASCServices,NURSE ANESTHETIST,Payer H,254
201801,ASCServices,Nurse Anesthetist - Certified Registered	,Payer S,686
201801,ASCServices,Nurse Practitioner (Arnp),Payer UN,220
201801,ASCServices,OBSTETRICS & GYNECOLOGY,Payer CA,262
201801,ASCServices,OPHTHALMOLOGY,Payer CA,1724
201801,ASCServices,OPHTHALMOLOGY,Payer W,0
201801,ASCServices,Ophthamology,Payer B,534
201801,ASCServices,Opthalmology,Payer UN,1897
201801,ASCServices,ORTHOPEDIC SURGERY,Payer CA,686
201801,ASCServices,ORTHOPEDIC SURGERY,Payer F,6013
201801,ASCServices,ORTHOPEDIC SURGERY,Payer O,422
201801,ASCServices,Orthopedic Surgery,Payer UN,1365
201801,ASCServices,ORTHOPEDIC SURGERY,Payer W,1490
201801,ASCServices,OSTEOPATH,Payer H,853
201801,ASCServices,PAIN MANAGEMENT,Payer CA,461
201801,ASCServices,PAIN MANAGEMENT,Payer F,2347
201801,ASCServices,PAIN MANAGEMENT,Payer O,314
201801,ASCServices,Pain Management,Payer S,1650
201801,ASCServices,PAIN MANAGEMENT,Payer W,149
201801,ASCServices,Pathology,Payer B,395
201801,ASCServices,PATHOLOGY,Payer CA,198
201801,ASCServices,PATHOLOGY,Payer F,2263
201801,ASCServices,PATHOLOGY,Payer O,480
201801,ASCServices,PEDANE,Payer W,65
201801,ASCServices,Pediatrics - Anesthesiology,Payer S,76
201801,ASCServices,PHYS MEDICINE REHAB,Payer F,210
201801,ASCServices,PHYSICAL MEDICINE & REHAB,Payer CO,319
201801,ASCServices,Physical Medicine & Rehabilitation,Payer S,303
201801,ASCServices,Physical Therapy,Payer UN,562
201801,ASCServices,PLASTIC SURGERY,Payer F,2119
201801,ASCServices,PODIATRY,Payer B,501
201801,ASCServices,Radiology,Payer S,95
201801,ASCServices,SPTMED,Payer W,264
201801,ASCServices,Surgery - Hand,Payer S,722
201801,ASCServices,SURGICAL CENTER,Payer H,7830
201801,ASCServices,UROGYNECOLOGY,Payer F,1425
201801,ASCServices,Urology,Payer B,856
201801,ASCServices,UROLOGY,Payer F,689
201801,ASCServices,UROLOGY,Payer O,365
201801,ASCServices,Urology,Payer UN,474
201801,ASCServices,VISION,Payer F,508
201801,ASCServices,X - Technician/Technologist - Optician,Payer S,35
201801,ERServices,,Payer F,648
201801,ERServices,,Payer H,13766
201801,ERServices,ADVANCED RN PRACT,Payer CA,340
201801,ERServices,ANESTHESIOLOGY,Payer CA,226
201801,ERServices,ANESTHESIOLOGY,Payer W,356
201801,ERServices,ARNP,Payer CA,446
201801,ERServices,CARD ELECTROPHYSIOLO,Payer CA,8
201801,ERServices,CARDIAC ELECTROPHYSIOLOGY,Payer O,9
201801,ERServices,CARDIAC ELECTROPHYSIOLOGY,Payer W,10
201801,ERServices,CARDIOLOGY,Payer CA,121
201801,ERServices,CARDIOLOGY,Payer CO,7
201801,ERServices,CARDIOLOGY,Payer F,890
201801,ERServices,CARDIOLOGY,Payer O,729
201801,ERServices,Cardiology,Payer UN,7
201801,ERServices,CARDIOLOGY,Payer W,603
201801,ERServices,Cardiology/Cardiovascular Disease,Payer B,11
201801,ERServices,CARDIOTHORACIC SURGERY,Payer F,72
201801,ERServices,Cardiovascular Medicine,Payer S,55
201801,ERServices,CARDIOVASCULAR SURGERY,Payer CA,115
201801,ERServices,CARDIOVASCULAR SURGERY,Payer CO,17
201801,ERServices,CLINIC,Payer CA,54
201801,ERServices,CLINIC,Payer CO,287
201801,ERServices,CLMIS,Payer CO,150
201801,ERServices,CRITICAL ACCESS,Payer W,0
201801,ERServices,DIAG X-RAY CLINIC,Payer H,915
201801,ERServices,DIAGNOSTIC RADIOLOGY,Payer CA,341
201801,ERServices,DIAGNOSTIC RADIOLOGY,Payer CO,171
201801,ERServices,ElectroPhysiologic Study,Payer CA,41
201801,ERServices,EMERGENCY MEDICINE,Payer CO,1127
201801,ERServices,EMERGENCY MEDICINE,Payer F,31385
201801,ERServices,EMERGENCY MEDICINE,Payer O,8534
201801,ERServices,Emergency Medicine,Payer S,1135
201801,ERServices,Emergency Medicine,Payer UN,1221
201801,ERServices,"Emergency Medicine, General Practice",Payer B,1622
201801,ERServices,EMERGENCY ROOM,Payer CA,8394
201801,ERServices,EMERGENCY ROOM,Payer W,2793
201801,ERServices,ENT,Payer F,56
201801,ERServices,FAMILY NURSE PRACTIONER,Payer CA,181
201801,ERServices,FAMILY PRACTICE,Payer B,416
201801,ERServices,FAMILY PRACTICE,Payer CA,420
201801,ERServices,FAMILY PRACTICE,Payer F,2817
201801,ERServices,FAMILY PRACTICE,Payer O,820
201801,ERServices,Family Practice,Payer S,84
201801,ERServices,FAMILY PRACTICE,Payer W,1129
201801,ERServices,GASTROENTEROLOGY,Payer CA,218
201801,ERServices,GASTROENTEROLOGY,Payer F,605
201801,ERServices,GENERAL PRACTICE,Payer CA,663
201801,ERServices,GENERAL PRACTICE,Payer F,1751
201801,ERServices,GENERAL PRACTICE,Payer O,101
201801,ERServices,GENERAL PRACTICE,Payer W,375
201801,ERServices,GENERAL SURGERY,Payer CA,239
201801,ERServices,GENERAL SURGERY,Payer F,342
201801,ERServices,GENERAL SURGERY,Payer O,276
201801,ERServices,HOSPICE,Payer F,417
201801,ERServices,HOSPITAL,Payer CA,21855
